page_number,chars,x0,x1,y0,y1,labels
8,EXCLUSIV!,221.45126000000002,392.260911343967,715.0942299999999,748.64553,3
8,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,13.430270000000002,539.131167264832,783.06323,806.96028,4
8,Ofertele din paginile 8-9 sunt valabile      ,250.491579,540.8237713441652,35.34628900000001,71.6872252680205,5
8,  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.2648700000002,761.27093,775.27093,6
8,LUNI&  MARȚI,82.80067,165.836846,620.55761,663.74419,7
8,LUNI&  MARȚI,86.57285,169.609026,421.79309000000006,464.97964,8
8,LUNI&  MARȚI,457.93847,540.974652989968,184.77487,227.96142000000003,9
8,LUNI&  MARȚI,239.00734,322.043522989968,172.92638,216.11292999999998,10
8, -31%,476.05925999999994,518.7552599999999,161.99548000000001,179.99548000000001,11
8,"28,59",462.83145,534.81345,109.40048999999999,136.40049,12
8,"41,99",459.97795999999994,498.93796,139.01938,155.01938,13
8, -28%,105.86657,151.67657,399.79437,417.79437,14
8,"3,99",109.11577,166.19376999999997,347.41717,374.41717,15
8,"5,59",91.35826999999999,122.86227,377.03607,393.03607,16
8, -30%,258.08069,304.17869,150.58008,168.58008,17
8,"13,99",248.61236,318.54236000000003,98.27939,125.27938999999999,18
8,"19,99",243.70676,283.13076,127.89828999999999,143.89829,19
8, -33%,102.28647,147.95246999999995,597.97839,615.97839,20
8,"10,29",92.70336999999999,162.57936999999995,545.88482,572.88482,21
8,"15,49",87.74387,126.59187,575.50354,591.50354,22
8,LUNI&  MARȚI,75.71117,158.747352989968,167.23803999999998,210.42459,23
8, -25%,92.79626999999999,138.58827,144.9108,162.9108,24
8,"40,29",79.31427,153.10527,92.60999,119.60999,25
8,"53,99",78.26947,119.70947,122.22888999999999,138.22888999999998,26
8,COLGATE Pastă de dinţi ,82.20467,150.72467,721.17718,743.17718,27
8,tub,82.20467,98.68467,709.17718,719.17718,28
8,total original care / advanced white /  total white 100 ml,82.20477,153.08397000000005,670.21368,707.29364,29
8,GARNIER Apă  micelară,172.34637,217.55638,139.41199,173.41199,30
8,pentru piele  sensibilă/ ten cu  imperfecțiuni 400 ml,172.34646999999998,221.49767000000003,90.84849,137.52848999999998,31
8,PLANT LINE Cremă mâini,101.10226999999999,160.74227,491.57077000000004,513.57077,32
8,aloe vera / ulei de cătină,101.10237,192.28477,481.68737999999996,489.68737999999996,33
8,75 ml,101.10237,121.46237,472.08737,480.08737,34
8,PERSIL,360.04986,394.81986000000006,163.41328000000001,173.41328000000001,35
8,Detergent gel  pentru rufe,359.99987999999996,428.20988000000006,139.41328000000001,161.41328000000001,36
8,universal /  sensitive /  lavandă 40 de utilizări 2 l,359.99997,410.47917,90.8499,137.52991,37
