,Char,x0,x1,width,y0,y1,height
199, ,49.950269999999996,51.77027,1.8200000000000003,39.57959,46.57959,7.0
200,g,51.560269999999996,55.557269999999995,3.997,39.57959,46.57959,7.0
201,ă,55.347269999999995,59.386269999999996,4.0390000000000015,39.57959,46.57959,7.0
202,s,59.176269999999995,62.09526999999999,2.918999999999997,39.57959,46.57959,7.0
203,e,61.81526999999999,65.71426999999998,3.898999999999994,39.57959,46.57959,7.0
204,s,65.50426999999999,68.42326999999999,2.918999999999997,39.57959,46.57959,7.0
205,c,68.14326999999999,71.56626999999999,3.423000000000002,39.57959,46.57959,7.0
206, ,71.35626999999998,73.17626999999997,1.8199999999999932,39.57959,46.57959,7.0
207,î,72.96626999999998,74.45726999999998,1.4909999999999997,39.57959,46.57959,7.0
208,n,74.24726999999999,78.11826999999998,3.870999999999995,39.57959,46.57959,7.0
209, ,77.90826999999999,79.72826999999998,1.8199999999999932,39.57959,46.57959,7.0
210,l,79.51826999999999,81.00926999999999,1.4909999999999997,39.57959,46.57959,7.0
211,i,80.79926999999999,82.29026999999999,1.4909999999999997,39.57959,46.57959,7.0
212,m,82.08027,88.01626999999999,5.935999999999993,39.57959,46.57959,7.0
213,i,87.80627,89.29727,1.4909999999999997,39.57959,46.57959,7.0
214,t,89.08727,91.89427,2.807000000000002,39.57959,46.57959,7.0
215,a,91.54427000000001,95.58327000000001,4.0390000000000015,39.57959,46.57959,7.0
216, ,95.37327000000002,97.19327000000001,1.8199999999999932,39.57959,46.57959,7.0
217,s,96.98327000000002,99.90227000000002,2.918999999999997,39.57959,46.57959,7.0
218,t,99.55927000000003,102.36627000000003,2.807000000000002,39.57959,46.57959,7.0
219,o,102.01627000000003,106.08327000000003,4.066999999999993,39.57959,46.57959,7.0
220,c,105.87327000000003,109.29627000000004,3.423000000000002,39.57959,46.57959,7.0
221,u,109.08627000000004,112.96427000000004,3.878,39.57959,46.57959,7.0
222,l,112.75427000000005,114.24527000000005,1.4909999999999997,39.57959,46.57959,7.0
223,u,114.03527000000005,117.91327000000005,3.878,39.57959,46.57959,7.0
224,i,117.70327000000006,119.19427000000006,1.4909999999999997,39.57959,46.57959,7.0
225, ,118.98427000000007,120.80427000000006,1.8199999999999932,39.57959,46.57959,7.0
226,d,120.59427000000007,124.70327000000006,4.108999999999995,39.57959,46.57959,7.0
227,i,124.49327000000007,125.98427000000007,1.4909999999999997,39.57959,46.57959,7.0
228,s,125.77427000000007,128.69327000000007,2.918999999999997,39.57959,46.57959,7.0
229,p,128.48327000000006,132.52227000000005,4.038999999999987,39.57959,46.57959,7.0
230,o,132.31227000000007,136.37927000000008,4.067000000000007,39.57959,46.57959,7.0
231,n,136.16927000000007,140.04027000000008,3.8710000000000093,39.57959,46.57959,7.0
232,i,139.83027000000007,141.32127000000008,1.4910000000000139,39.57959,46.57959,7.0
233,b,141.11127000000008,145.15027000000006,4.038999999999987,39.57959,46.57959,7.0
234,i,144.94027000000008,146.4312700000001,1.4910000000000139,39.57959,46.57959,7.0
235,l,146.2212700000001,147.7122700000001,1.4910000000000139,39.57959,46.57959,7.0
236,.,147.5022700000001,148.9022700000001,1.4000000000000057,39.57959,46.57959,7.0
237, ,148.6922700000001,150.5122700000001,1.8199999999999932,39.57959,46.57959,7.0
238,V,150.30227000000008,155.22327000000007,4.920999999999992,39.57959,46.57959,7.0
239,i,154.87327000000008,156.3642700000001,1.4910000000000139,39.57959,46.57959,7.0
240,n,156.15427000000008,160.0252700000001,3.8710000000000093,39.57959,46.57959,7.0
241,d,159.80827000000008,163.9172700000001,4.109000000000009,39.57959,46.57959,7.0
242,e,163.70727000000008,167.60627000000008,3.899000000000001,39.57959,46.57959,7.0
243,m,167.39627000000007,173.33227000000008,5.936000000000007,39.57959,46.57959,7.0
244, ,173.12227000000007,174.94227000000006,1.8199999999999932,39.57959,46.57959,7.0
245,î,174.73227000000006,176.22327000000007,1.4910000000000139,39.57959,46.57959,7.0
246,n,176.01327000000006,179.88427000000007,3.8710000000000093,39.57959,46.57959,7.0
247, ,179.67427000000006,181.49427000000006,1.8199999999999932,39.57959,46.57959,7.0
248,c,181.28427000000005,184.70727000000005,3.423000000000002,39.57959,46.57959,7.0
